,INSTNM,WEBADDR,DISAURL
77,Shasta College,"An error occurred while validating https://www.shastacollege.edu: HTTPSConnectionPool(host='www.shastacollege.edu', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032)')))","An error occurred while validating https://www.shastacollege.edu/student-life/student-services/partners-in-access-to-college-education-for-students-with-disabilities: HTTPSConnectionPool(host='www.shastacollege.edu', port=443): Max retries exceeded with url: /student-life/student-services/partners-in-access-to-college-education-for-students-with-disabilities (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032)')))"
78,Skyline College,https://skylinecollege.edu/sitemap.xml,https://skylinecollege.edu/disabilityresources/index.php/sitemap.xml
79,Solano Community College,"An error occurred while accessing sitemap of http://welcome.solano.edu is not a valid website/sitemap.xml: HTTPConnectionPool(host='welcome.solano.edu%20is%20not%20a%20valid%20website', port=80): Max retries exceeded with url: /sitemap.xml (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x108ddb8a0>: Failed to resolve 'welcome.solano.edu%20is%20not%20a%20valid%20website' ([Errno 8] nodename nor servname provided, or not known)""))",An error occurred while accessing sitemap of http://welcome.solano.edu/asc is not a valid website/sitemap.xml: 403 Client Error: Forbidden for url: http://welcome.solano.edu/asc%20is%20not%20a%20valid%20website/sitemap.xml
80,Sonoma State University,https://sonoma.edu/sitemap.xml,https://dss.sonoma.edu/sitemap.xml
81,West Los Angeles College,https://www.wlac.edu/sitemap.xml,An error occurred while accessing sitemap of https://www.wlac.edu/dsps/index.aspx/sitemap.xml: 404 Client Error: Not Found for url: https://www.wlac.edu/dsps/index.aspx/sitemap.xml
82,Adams State University,https://www.adams.edu/sitemap.xml,An error occurred while accessing sitemap of https://www.adams.edu/accessibility/ada/sitemap.xml: 404 Client Error: Not Found for url: https://www.adams.edu/accessibility/ada/sitemap.xml
83,Aims Community College,https://www.aims.edu/sitemap.xml,An error occurred while accessing sitemap of https://www.aims.edu/departments/disability-access-services/sitemap.xml: 404 Client Error: Not Found for url: https://www.aims.edu/departments/disability-access-services/sitemap.xml
84,Arapahoe Community College,https://www.arapahoe.edu/sitemap.xml,An error occurred while accessing sitemap of https://www.arapahoe.edu/advising-support/disability-access-services/sitemap.xml: 404 Client Error: Not Found for url: https://www.arapahoe.edu/advising-support/disability-access-services/sitemap.xml
85,University of Colorado Denver/Anschutz Medical Campus,An error occurred while accessing sitemap of https://www.ucdenver.edu/sitemap.xml: 404 Client Error: Not Found for url: https://www.ucdenver.edu/sitemap.xml,An error occurred while accessing sitemap of https://www.ucdenver.edu/offices/disability-resources-and-services/sitemap.xml: 404 Client Error: Not Found for url: https://www.ucdenver.edu/offices/disability-resources-and-services/sitemap.xml
86,University of Colorado Colorado Springs,https://www.uccs.edu/sitemap.xml,https://disability.uccs.edu/sitemap.xml
87,University of Colorado Boulder,https://www.colorado.edu/sitemap.xml,https://www.colorado.edu/disabilityservices/sitemap.xml
88,Colorado Mountain College,https://coloradomtn.edu/sitemap.xml,An error occurred while accessing sitemap of https://coloradomtn.edu/apply-get-started/access-inclusion-disability-services/sitemap.xml: 404 Client Error: Not Found for url: https://coloradomtn.edu/apply-get-started/access-inclusion-disability-services/sitemap.xml
89,Colorado School of Mines,"An error occurred while accessing sitemap of http://www.mines.edu is not a valid website/sitemap.xml: HTTPConnectionPool(host='www.mines.edu%20is%20not%20a%20valid%20website', port=80): Max retries exceeded with url: /sitemap.xml (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x108ddb790>: Failed to resolve 'www.mines.edu%20is%20not%20a%20valid%20website' ([Errno 8] nodename nor servname provided, or not known)""))",An error occurred while accessing sitemap of http://www.mines.edu/disability-support-services is not a valid website/sitemap.xml: 403 Client Error: Forbidden for url: http://www.mines.edu/disability-support-services%20is%20not%20a%20valid%20website/sitemap.xml
90,Colorado State University-Fort Collins,"An error occurred while validating https://colostate.edu: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))",https://disabilitycenter.colostate.edu/sitemap.xml
91,Community College of Denver,https://www.ccd.edu/sitemap.xml,An error occurred while accessing sitemap of https://www.ccd.edu/org/accessibility-center/sitemap.xml: 404 Client Error: Not Found for url: https://www.ccd.edu/org/accessibility-center/sitemap.xml
92,Fort Lewis College,An error occurred while accessing sitemap of https://fortlewis.edu/sitemap.xml: 404 Client Error: Not Found for url: https://fortlewis.edu/sitemap.xml,An error occurred while accessing sitemap of https://www.fortlewis.edu/disability/sitemap.xml: 404 Client Error: Not Found for url: https://www.fortlewis.edu/disability/sitemap.xml
93,Front Range Community College,https://www.frontrange.edu/sitemap.xml,https://www.frontrange.edu/being-a-student/disability-services/sitemap.xml
94,Colorado Mesa University,https://www.coloradomesa.edu/sitemap.xml,An error occurred while accessing sitemap of https://www.coloradomesa.edu/educational-access/index.html/sitemap.xml: 404 Client Error: Not Found for url: https://www.coloradomesa.edu/educational-access/index.html/sitemap.xml
95,Metropolitan State University of Denver,"An error occurred while accessing sitemap of http://www.msudenver.edu is not a valid website/sitemap.xml: HTTPConnectionPool(host='www.msudenver.edu%20is%20not%20a%20valid%20website', port=80): Max retries exceeded with url: /sitemap.xml (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x108ddb130>: Failed to resolve 'www.msudenver.edu%20is%20not%20a%20valid%20website' ([Errno 8] nodename nor servname provided, or not known)""))",An error occurred while accessing sitemap of http://www.msudenver.edu/access is not a valid website/sitemap.xml: 403 Client Error: Forbidden for url: http://www.msudenver.edu/access%20is%20not%20a%20valid%20website/sitemap.xml
96,Morgan Community College,"An error occurred while accessing sitemap of https://www.morgancc.edu is not a valid website./sitemap.xml: HTTPSConnectionPool(host='www.morgancc.edu%20is%20not%20a%20valid%20website.', port=443): Max retries exceeded with url: /sitemap.xml (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x108db7750>: Failed to resolve 'www.morgancc.edu%20is%20not%20a%20valid%20website' ([Errno 8] nodename nor servname provided, or not known)""))",An error occurred while accessing sitemap of https://www.morgancc.edu/current-students/disability-services is not a valid website./sitemap.xml: 403 Client Error: Forbidden for url: https://www.morgancc.edu/current-students/disability-services%20is%20not%20a%20valid%20website./sitemap.xml
